ip,port,service,cve,cvss,title,exploit_available,exposure,risk_score
192.168.178.130,21,ftp,NMAP:FTP-VSFTPD-BACKDOOR.NSE,10,ftp-vsftpd-backdoor NSE Script,1,1,5.5
192.168.178.130,111,rpcbind,OSV:USN-4986-2,7.8,USN-4986-2 rpcbind vulnerability,1,1,4.4
192.168.178.130,111,rpcbind,USN-4986-2,7.8,USN-4986-2: rpcbind vulnerability,1,1,4.4
192.168.178.130,111,rpcbind,UBUNTU_USN-4986-2.NASL,7.8,Ubuntu 16.04 ESM : rpcbind vulnerability (USN-4986-2),1,1,4.4
192.168.178.130,2121,ftp,NVD:CVE-2008-4242,6.8,CVE-2008-4242,1,1,3.9
192.168.178.130,80,http,PRION:CVE-2012-1978,6.8,Cross site request forgery (csrf),1,1,3.9
192.168.178.130,80,http,CVE-2012-1978,6.8,CVE-2012-1978,1,1,3.9
192.168.178.130,2049,nfs,PRION:CVE-2013-0500,5.4,Design/Logic Flaw,1,1,3.2
192.168.178.130,8180,http,OPENVAS:11129,5,HTTP 1.1 header overflow,1,1,3
192.168.178.130,21,ftp,VERACODE:24631,4,Denial Of Service (DoS),1,1,2.5
192.168.178.130,21,ftp,565BACD5-C145-5427-980C-50C5BBD734AF,0,vsftpd-2.3.4-exploit,1,1,0.5
192.168.178.130,2049,nfs,CVELIST:CVE-2013-0500,0,CVE-2013-0500,1,1,0.5
192.168.178.130,2049,nfs,MYHACK58:62201026528,0,youku iphone Channels the presence of injection-vulnerability warning-the black bar safety net,1,1,0.5
192.168.178.130,80,http,CVELIST:CVE-2012-1978,0,CVE-2012-1978,1,1,0.5
192.168.178.130,2121,ftp,SSA-2005-162-01,0,gaim,1,1,0.5
192.168.178.130,2121,ftp,CVELIST:CVE-2008-4242,0,CVE-2008-4242,1,1,0.5
192.168.178.130,3306,mysql,KITPLOIT:4046958423920019693,0,Freevulnsearch - Free And Open NMAP NSE Script To Query Vulnerabilities Via The cve-search.org API,1,1,0.5
192.168.178.130,8180,http,HTTP11_DETECT.NASL,0,Web Server Detection (HTTP/1.1),1,1,0.5
192.168.178.130,8180,http,EDB-ID:33852,0,HTTP 1.1 - GET Directory Traversal,1,1,0.5
